,Image_Link,Actor Name,Twitter Handle
51,https://pbs.twimg.com/profile_images/426226358033723392/otMsLPqj_400x400.jpeg,Hansika,@ihansika
52,https://pbs.twimg.com/profile_images/1238533104832307200/HQo8jKtg_400x400.jpg,arjun rampal,@rampalarjun
53,https://pbs.twimg.com/profile_images/889429347576102912/vTzr50qF_400x400.jpg,Tamannaah Bhatia,@tamannaahspeaks
54,https://pbs.twimg.com/profile_images/867818671124733952/pxq9jP2R_400x400.jpg,ameesha patel,@ameesha_patel
55,https://pbs.twimg.com/profile_images/899537328531582976/PyChPwP0_400x400.jpg,Allu Arjun,@alluarjun
56,https://pbs.twimg.com/profile_images/1244865113573568512/-UV6jOJH_400x400.jpg,Tiger Shroff,@iTIGERSHROFF
57,https://pbs.twimg.com/profile_images/1193317972435075074/wu5Qrwwz_400x400.jpg,Nargis,@NargisFakhri
58,https://pbs.twimg.com/profile_images/1146472490253742081/2wDg1l0D_400x400.jpg,taapsee pannu,@taapsee
59,https://pbs.twimg.com/profile_images/1177293968326791168/EGQumizX_400x400.jpg,Rakul Singh,@Rakulpreet
60,https://pbs.twimg.com/profile_images/520404154624131075/7Uv4dfh8_400x400.jpeg,Rohan,@mojorojo
61,https://pbs.twimg.com/profile_images/1113483042054602752/AhSXQDFX_400x400.jpg,Yami Gautam,@yamigautam
62,https://pbs.twimg.com/profile_images/727053878978449408/rHgoO6Za_400x400.jpg,Kajal Aggarwal,@MsKajalAggarwal
63,https://pbs.twimg.com/profile_images/894049094162726912/7FrxBgbF_400x400.jpg,Nani,@NameisNani
64,https://pbs.twimg.com/profile_images/1245650804138070016/dvKIRrPh_400x400.jpg,Rishi Kapoor,@chintskap
65,https://pbs.twimg.com/profile_images/1205573183337664512/910wIK2p_400x400.jpg,Huma S Qureshi,@humasqureshi
66,https://pbs.twimg.com/profile_images/1161574102978584579/KQ4SHR_F_400x400.jpg,Jayam Ravi,@actor_jayamravi
67,https://pbs.twimg.com/profile_images/741172105149075456/6daw4t33_400x400.jpg,Azmi Shabana,@AzmiShabana
68,https://pbs.twimg.com/profile_images/670680292/Profile_Image_400x400.jpg,Lara Dutta Bhupathi,@LaraDutta
69,https://pbs.twimg.com/profile_images/1095614426470858752/R3w8cvdw_400x400.jpg,Dia Mirza,@deespeak
70,https://pbs.twimg.com/profile_images/1194466244977496064/ai-5dHX1_400x400.jpg,venkat prabhu,@vp_offl
71,https://pbs.twimg.com/profile_images/622423597248688128/IIywKWNt_400x400.jpg,Mouni Roy,@Roymouni
72,https://pbs.twimg.com/profile_images/739491566734049280/BDS5ofqH_400x400.jpg,John Abraham,@TheJohnAbraham
73,https://pbs.twimg.com/profile_images/1060069112947322880/mQ_-NvAJ_400x400.jpg,Gauahar Khan,@GAUAHAR_KHAN
74,https://pbs.twimg.com/profile_images/1244589245475491840/Iazyo9Ux_400x400.jpg,nithiin,@actor_nithiin
75,https://pbs.twimg.com/profile_images/719451547697037312/LuLA4ji1_400x400.jpg,Gul Panag,@GulPanag
76,https://pbs.twimg.com/profile_images/1156089313928437760/0DYGqIje_400x400.jpg,Mallika Sherawat,@mallikasherawat
77,https://pbs.twimg.com/profile_images/1043106468059217920/GniO9M-Z_400x400.jpg,Keerthy Suresh,@KeerthyOfficial
78,https://pbs.twimg.com/profile_images/906558208549937152/z8n8s7-m_400x400.jpg,Nawazuddin Siddiqui,@Nawazuddin_S
